14:32:23.734	SERVER	admin	OK	Server was started (port: 1984).
14:32:37.444	127.0.0.1:21401	admin	REQUEST	OPEN CursosUA	63.32 ms
14:32:37.454	127.0.0.1:21401	admin	ERROR	Database 'CursosUA' was not found.	9.66 ms
14:32:37.456	127.0.0.1:21401	admin	REQUEST	EXIT	0.62 ms
14:32:37.457	127.0.0.1:21401	admin	OK		0.84 ms
14:33:15.763	127.0.0.1:21403	admin	REQUEST	OPEN moviesDB	0.89 ms
14:33:15.763	127.0.0.1:21403	admin	ERROR	Database 'moviesDB' was not found.	0.99 ms
14:33:15.763	127.0.0.1:21403	admin	REQUEST	EXIT	0.55 ms
14:33:15.763	127.0.0.1:21403	admin	OK		0.33 ms
14:33:20.252	127.0.0.1:21404	admin	REQUEST	OPEN movies	1.9 ms
14:33:20.253	127.0.0.1:21404	admin	ERROR	Database 'movies' was not found.	1.61 ms
14:33:20.259	127.0.0.1:21404	admin	REQUEST	EXIT	0.77 ms
14:33:20.260	127.0.0.1:21404	admin	OK		0.43 ms
